trip_id,start_time,completed_time,distance_meters,start_latitude,start_longitude,end_latitude,end_longitude,year,month,day,hour,tripDuration(minutes)
26559444,2018-12-02 12:41:26+00:00,2018-12-02 12:45:40+00:00,382,38.23,-85.75,38.23,-85.76,2018,December,Sunday,12,4.0
26559031,2018-12-02 12:39:24+00:00,2018-12-02 12:41:49+00:00,109,38.26,-85.75,38.26,-85.76,2018,December,Sunday,12,2.0
26552748,2018-12-02 12:08:07+00:00,2018-12-02 12:18:29+00:00,2547,38.21,-85.75,38.23,-85.75,2018,December,Sunday,12,10.0
26559594,2018-12-02 12:42:16+00:00,2018-12-02 12:56:58+00:00,1575,38.26,-85.76,38.26,-85.76,2018,December,Sunday,12,15.0
26557132,2018-12-02 12:30:01+00:00,2018-12-02 12:48:30+00:00,37,38.22,-85.75,38.23,-85.76,2018,December,Sunday,12,18.0
26548314,2018-12-02 11:46:54+00:00,2018-12-02 12:51:18+00:00,4626,38.25,-85.76,38.25,-85.76,2018,December,Sunday,11,64.0
26550606,2018-12-02 11:57:50+00:00,2018-12-02 12:07:22+00:00,1164,38.22,-85.76,38.22,-85.76,2018,December,Sunday,11,10.0
26552105,2018-12-02 12:04:49+00:00,2018-12-02 12:15:19+00:00,1391,38.24,-85.75,38.25,-85.76,2018,December,Sunday,12,10.0
26559205,2018-12-02 12:40:16+00:00,2018-12-02 12:48:09+00:00,571,38.22,-85.76,38.22,-85.76,2018,December,Sunday,12,8.0
26556197,2018-12-02 12:25:39+00:00,2018-12-02 12:50:56+00:00,3293,38.24,-85.73,38.24,-85.73,2018,December,Sunday,12,25.0
26548813,2018-12-02 11:49:06+00:00,2018-12-02 12:54:25+00:00,2542,38.25,-85.75,38.26,-85.76,2018,December,Sunday,11,65.0
26556005,2018-12-02 12:24:41+00:00,2018-12-02 12:55:26+00:00,4999,38.26,-85.75,38.25,-85.73,2018,December,Sunday,12,31.0
26666477,2018-12-03 04:56:53+00:00,2018-12-03 04:59:53+00:00,711,38.22,-85.76,38.21,-85.76,2018,December,Monday,4,3.0
26663447,2018-12-03 04:19:10+00:00,2018-12-03 04:24:26+00:00,522,38.23,-85.76,38.22,-85.76,2018,December,Monday,4,5.0
28547193,2018-12-13 11:32:24+00:00,2018-12-13 11:39:35+00:00,2101,38.23,-85.75,38.23,-85.77,2018,December,Thursday,11,7.0
29796442,2018-12-19 19:44:02+00:00,2018-12-19 19:52:35+00:00,2684,38.25,-85.74,38.26,-85.77,2018,December,Wednesday,19,9.0
29800303,2018-12-19 20:15:00+00:00,2018-12-19 20:25:35+00:00,627,38.24,-85.72,38.24,-85.72,2018,December,Wednesday,20,11.0
29869080,2018-12-20 08:02:33+00:00,2018-12-20 08:04:00+00:00,84,38.21,-85.75,38.21,-85.75,2018,December,Thursday,8,1.0
29692632,2018-12-19 09:14:16+00:00,2018-12-19 09:20:02+00:00,1671,38.23,-85.75,38.22,-85.75,2018,December,Wednesday,9,6.0
29704666,2018-12-19 10:23:27+00:00,2018-12-19 10:52:33+00:00,3910,38.26,-85.74,38.26,-85.76,2018,December,Wednesday,10,29.0
31450352,2018-12-29 12:11:10+00:00,2018-12-29 12:18:26+00:00,1483,38.26,-85.76,38.26,-85.76,2018,December,Saturday,12,7.0
27542858,2018-12-07 19:38:51+00:00,2018-12-07 19:42:10+00:00,353,38.25,-85.75,38.25,-85.76,2018,December,Friday,19,3.0
31173389,2018-12-28 00:42:54+00:00,2018-12-28 01:12:55+00:00,3764,38.26,-85.74,38.26,-85.74,2018,December,Friday,0,30.0
31259135,2018-12-28 12:30:17+00:00,2018-12-28 13:06:40+00:00,3783,38.26,-85.76,38.26,-85.76,2018,December,Friday,12,36.0
27276948,2018-12-06 11:31:46+00:00,2018-12-06 11:36:45+00:00,566,38.22,-85.76,38.22,-85.76,2018,December,Thursday,11,5.0
28530997,2018-12-13 10:03:58+00:00,2018-12-13 10:08:52+00:00,1393,38.23,-85.76,38.23,-85.75,2018,December,Thursday,10,5.0
29514943,2018-12-18 09:27:10+00:00,2018-12-18 09:32:36+00:00,983,38.26,-85.75,38.25,-85.76,2018,December,Tuesday,9,5.0
